model,outcome,weight_col,term,estimate,std_error_cluster,t_stat,p_value,ci_low,ci_high,n_rows,n_clusters
broad_panel_controls,sensitive_curated_share,total_docs,region[Oceania],0.011873095663168375,0.012193963336157394,0.9736863508489002,0.33314727717393805,-0.012027072475700118,0.03577326380203687,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,region[Mixed/Other],0.04937766968062221,0.020903613744447356,2.362159494730352,0.020599132683838024,0.008406586741505392,0.09034875261973903,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,type[joint center],-0.06982940747497952,0.020641071960458415,-3.383032025117202,0.0011121342610474281,-0.11028590851747802,-0.029372906432481034,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,type[missing],-0.08127282896351892,0.022306135590246048,-3.643519005553684,0.00047618297621591704,-0.12499285472040117,-0.03755280320663667,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,type[network],0.03543554936984582,0.02755995073650013,1.285762435087205,0.20223529149245972,-0.018581954073694437,0.08945305281338607,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,type[policy / think tank],-0.018964482461679446,0.010171383563744711,-1.8644938855002193,0.06592003209436002,-0.03890039424661908,0.0009714293232601888,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,type[program / project],0.01026729824216968,0.007822774141310366,1.3124881348613038,0.19310856837125404,-0.005065339074798636,0.025599935559137997,1250,81
closure_only_institute_fe,mean_embedding_score,orientation_docs,Intercept,-0.0975564550965658,0.014878577611002617,-6.5568401528129545,0.0027980758167496177,-0.12671846721413094,-0.06839444297900067,120,5
closure_only_institute_fe,mean_embedding_score,orientation_docs,post_ci_closure,-0.04034440879001971,0.05063465797993546,-0.7967745887808035,0.4701986291607685,-0.1395883384306932,0.05889952085065379,120,5
closure_only_institute_fe,mean_embedding_score,orientation_docs,years_since_ci_closure,0.005939254048043138,0.009095328252262244,0.6530005166735892,0.5493861634784416,-0.01188758932639086,0.023766097422477133,120,5
