institute_id,institute_name,low_volume_flag,theory_typology,theory_typology_confidence,theory_typology_borderline,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,overall_rival_share,overall_collaborator_share,overall_neutral_share,overall_oriented_share,overall_rival_among_oriented,overall_collaborator_among_oriented,security_signal,economic_signal,score_security_hawks,score_selective_engagers,score_economic_or_sti_pragmatists,score_dual_track_institutes,score_broad_neutral_analysts
durham_china_centre,Durham China Centre,False,broad_neutral_analysts,0.316667,False,economy_trade,0.239384,society_culture,0.216021,0.023363,False,True,0.017935,0.030598,0.951466,0.048533,0.369542,0.630458,0.000828,0.010054,0.347727,0.374242,0.493939,0.345454,0.810606
east_asian_institute,East Asian Institute,False,economic_or_sti_pragmatists,0.134091,False,economy_trade,0.33347,security_strategy,0.230999,0.102471,False,False,0.007942,0.089601,0.902457,0.097543,0.081421,0.918579,0.006098,0.0419,0.423485,0.696212,0.830303,0.418182,0.422727
east_asian_studies_center,East Asian Studies Center,False,broad_neutral_analysts,0.246969,False,society_culture,0.468347,environment_climate,0.139321,0.329026,False,False,0.010949,0.01857,0.970481,0.029519,0.370914,0.629086,0.001535,0.005869,0.340909,0.313636,0.406061,0.345454,0.65303
european_think_tank_network_on_china_etnc,European Think-tank Network on China (ETNC),False,selective_engagers,0.042424,True,security_strategy,0.382609,economy_trade,0.301511,0.081098,False,False,0.040122,0.095386,0.864492,0.135508,0.296086,0.703914,0.014301,0.037059,0.693182,0.735606,0.692424,0.660606,0.29697
fairbank_center_for_chinese_studies,Fairbank Center for Chinese Studies,False,security_hawks,0.158333,False,security_strategy,0.551247,society_culture,0.165517,0.38573,False,False,0.024534,0.073304,0.902163,0.097838,0.250761,0.749239,0.020644,0.011493,0.746212,0.587879,0.402273,0.512121,0.27197
freeman_chair_in_china_studies,Freeman Chair in China Studies,False,security_hawks,0.256061,False,security_strategy,0.368409,governance_law,0.238369,0.13004,False,False,0.046403,0.082969,0.870628,0.129372,0.358679,0.641321,0.017285,0.004727,0.74697,0.490909,0.281818,0.475758,0.384849
georgetown_initiative_for_u_s_china_dialogue_on_global_issues,Georgetown Initiative for U.S.-China Dialogue on Global Issues,False,security_hawks,0.007576,True,security_strategy,0.372485,governance_law,0.18068,0.191805,False,False,0.042079,0.0,0.957921,0.042079,1.0,0.0,0.025771,0.0,0.79394,0.161364,0.136742,0.065152,0.786364
global_china_center,Global China Center,True,low_volume_unassigned,0.0,True,economy_trade,0.392804,environment_climate,0.16118,0.231624,False,False,0.0,0.114468,0.885532,0.114468,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hoover_china_s_global_sharp_power_project,Hoover China's Global Sharp Power Project,False,security_hawks,0.337121,False,security_strategy,0.538756,science_technology,0.16546,0.373296,False,False,0.149623,0.083874,0.766503,0.233497,0.640792,0.359208,0.089443,0.016615,0.966667,0.629546,0.358334,0.612121,0.153788
hopkins_nanjing_center,Hopkins-Nanjing Center,False,selective_engagers,0.0,True,economy_trade,0.480085,security_strategy,0.237072,0.243013,False,False,0.034855,0.148413,0.816732,0.183268,0.190186,0.809814,0.014741,0.075862,0.599243,0.759091,0.826515,0.612121,0.131061
institute_for_china_america_studies,Institute for China-America Studies,False,economic_or_sti_pragmatists,0.066667,True,security_strategy,0.578591,economy_trade,0.263431,0.31516,False,False,0.005387,0.113276,0.881338,0.118663,0.045397,0.954603,0.002272,0.033795,0.432576,0.765909,0.832576,0.324243,0.171212
institute_of_asian_research_china_programs,Institute of Asian Research (China programs),False,broad_neutral_analysts,0.202272,False,governance_law,0.388759,society_culture,0.242833,0.145926,False,False,0.003334,0.045833,0.950833,0.049167,0.06781,0.93219,0.000254,0.012362,0.171212,0.430303,0.582576,0.163637,0.784848
