institute_id,institute_name,low_volume_flag,cluster_id,cluster_label,cluster_dominant_domain,cluster_orientation_mode,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,overall_rival_share,overall_collaborator_share,overall_neutral_share,overall_oriented_share,overall_rival_among_oriented,overall_collaborator_among_oriented
red_alc_china,Red ALC-China,True,,low_volume_unclustered,,,economy_trade,1.0,security_strategy,0.0,1.0,False,False,0.0,0.0,1.0,0.0,0.0,0.0
research_centre_for_china_s_heritage_studies,Research Centre for China's Heritage Studies,True,,low_volume_unclustered,,,society_culture,0.848892,governance_law,0.119129,0.729763,False,False,0.0,0.0,1.0,0.0,0.0,0.0
soas_china_institute,SOAS China Institute,False,4.0,cluster_4_society_culture_rival,society_culture,rival,society_culture,0.316265,economy_trade,0.252785,0.06348,False,False,0.019413,0.017195,0.963392,0.036608,0.530294,0.469706
sigur_center_for_asian_studies,Sigur Center for Asian Studies,False,1.0,cluster_1_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.635433,economy_trade,0.129956,0.505477,False,False,0.037071,0.136685,0.826243,0.173756,0.213351,0.786649
stanford_center_on_china_s_economy_and_institutions,Stanford Center on China's Economy and Institutions,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,society_culture,0.763206,economy_trade,0.116603,0.646603,False,False,0.001227,0.015922,0.982851,0.017149,0.071549,0.928451
swedish_national_china_centre,Swedish National China Centre,True,,low_volume_unclustered,,,security_strategy,0.454173,science_technology,0.22371,0.230463,False,False,0.088703,0.122279,0.789018,0.210982,0.420429,0.579571
the_china_institute,The China Institute,True,,low_volume_unclustered,,,security_strategy,0.534474,economy_trade,0.339284,0.19519,False,False,0.075483,0.106406,0.818111,0.181889,0.414995,0.585005
tsinghua_university_latin_america_center,Tsinghua University Latin America Center,True,,low_volume_unclustered,,,economy_trade,0.272917,governance_law,0.259615,0.013302,False,True,0.0,0.0,1.0,0.0,0.0,0.0
usc_u_s_china_institute,USC U.S.-China Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.330767,society_culture,0.260991,0.069776,False,False,0.029794,0.049962,0.920245,0.079756,0.373564,0.626436
university_of_oxford_china_centre,University of Oxford China Centre,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,security_strategy,0.252222,society_culture,0.226446,0.025776,False,True,0.019971,0.071282,0.908747,0.091253,0.218853,0.781147
weatherhead_east_asian_institute,Weatherhead East Asian Institute,False,2.0,cluster_2_security_strategy_collaborator,security_strategy,collaborator,society_culture,0.439424,security_strategy,0.21088,0.228544,False,False,0.025147,0.055122,0.919731,0.080269,0.313284,0.686716
