institute_id,institute_name,total_docs,total_paragraphs,classified_paragraphs,classified_paragraph_share,classified_weight_sum,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,low_volume_flag,year_min,year_max,security_strategy_salience_share,economy_trade_salience_share,science_technology_salience_share,environment_climate_salience_share,governance_law_salience_share,society_culture_salience_share,security_strategy_rival_prop,security_strategy_collaborator_prop,economy_trade_rival_prop,economy_trade_collaborator_prop,science_technology_rival_prop,science_technology_collaborator_prop,environment_climate_rival_prop,environment_climate_collaborator_prop,governance_law_rival_prop,governance_law_collaborator_prop,society_culture_rival_prop,society_culture_collaborator_prop
centre_d_tudes_fran_ais_sur_la_chine_contemporaine_cefc,Centre d'Études Français sur la Chine Contemporaine (CEFC),337,337,258,0.765579,257.999999,society_culture,0.465902,security_strategy,0.216683,0.249219,False,False,False,2000.0,2026.0,0.216683,0.110166,0.065213,0.005419,0.136618,0.465902,0.031889,0.047731,0.003694,0.064819,0.028389,0.040877,0.0,0.0,0.004828,0.0233,0.011875,0.030375
centre_for_china_studies,Centre for China Studies,89,89,77,0.865169,77.000001,security_strategy,0.54572,society_culture,0.19336,0.35236,False,False,False,2007.0,2025.0,0.54572,0.09683,0.061321,0.007701,0.095069,0.19336,0.056938,0.100446,0.002162,0.170332,0.003414,0.053144,0.0,0.461933,0.003435,0.039245,0.028902,0.067231
china_africa_research_initiative,China Africa Research Initiative,68,68,58,0.852941,58.000001,economy_trade,0.654821,society_culture,0.125982,0.528839,False,False,False,2014.0,2025.0,0.10933,0.654821,0.064171,0.007102,0.038594,0.125982,0.000791,0.132583,0.002921,0.179822,0.010247,0.174245,0.013222,0.353686,0.00575,0.155564,0.001863,0.056605
china_institute,China Institute,117,117,74,0.632479,73.999997,security_strategy,0.215539,society_culture,0.182101,0.033438,False,True,False,2001.0,2026.0,0.215539,0.163909,0.133894,0.171244,0.133313,0.182101,0.0,0.11963,0.009249,0.063516,0.0,0.078176,0.0,0.002558,0.011372,0.085109,0.0,0.074628
china_institute_birmingham,China Institute,146,146,105,0.719178,104.999998,security_strategy,0.412449,society_culture,0.200047,0.212402,False,False,False,2001.0,2025.0,0.412449,0.115017,0.140937,0.057174,0.074376,0.200047,0.013371,0.103982,0.01019,0.120447,0.0,0.101359,0.0,0.074708,0.0,0.033695,0.000241,0.064023
china_institute_chulalongkorn,China Institute,146,146,105,0.719178,104.999998,security_strategy,0.413084,society_culture,0.199412,0.213672,False,False,False,2001.0,2025.0,0.413084,0.115017,0.140937,0.057174,0.074376,0.199412,0.013351,0.103823,0.01019,0.120447,0.0,0.101359,0.0,0.074708,0.0,0.033695,0.000242,0.064227
china_institute_csun,China Institute,146,146,105,0.719178,104.999998,security_strategy,0.412449,society_culture,0.200047,0.212402,False,False,False,2001.0,2025.0,0.412449,0.115017,0.140937,0.057174,0.074376,0.200047,0.013371,0.103982,0.01019,0.120447,0.0,0.101359,0.0,0.074708,0.0,0.033695,0.000241,0.064023
china_institute_malaya,China Institute,146,146,105,0.719178,104.999998,security_strategy,0.413084,society_culture,0.199412,0.213672,False,False,False,2001.0,2025.0,0.413084,0.115017,0.140937,0.057174,0.074376,0.199412,0.013351,0.103823,0.01019,0.120447,0.0,0.101377,0.0,0.074708,0.0,0.033695,0.000242,0.064227
china_institute_waterloo,China Institute,146,146,105,0.719178,104.999998,security_strategy,0.413084,society_culture,0.199412,0.213672,False,False,False,2001.0,2025.0,0.413084,0.115017,0.140937,0.057174,0.074376,0.199412,0.013351,0.103823,0.01019,0.120447,0.0,0.101359,0.0,0.074708,0.0,0.033695,0.000242,0.064227
china_matters,China Matters,55,55,42,0.763636,41.999998,security_strategy,0.349201,economy_trade,0.243135,0.106066,False,False,False,2000.0,2024.0,0.349201,0.243135,0.071348,0.042692,0.09752,0.196104,0.005938,0.006469,0.001003,0.00865,0.003989,0.138125,0.006667,0.0,0.001668,0.000799,0.001451,0.001589
